"Actions","Aktivnosti"
"An error occurred while marking notification as read.","Prišlo je do napake pri označevanju obvestila, da je prebrano."
"An error occurred while marking the messages as read.","Prišlo je do napake pri označevanju sporočila, da je prebrano."
"An error occurred while removing messages.","Prišlo je do napake pri brisanju sporočila."
"An error occurred while removing the message.","Prišlo je do napake pri brisanju sporočila."
"Are you sure?","Si prepričan?"
"Date Added","Datum vpisa"
"Last Update","Zadnja posodobitev"
"Mark as Read","Označi kot prebrano"
"Mark as read","Označi kot prebrano"
"Message","Sporočilo"
"Messages Inbox","Prejeta sporočila "
"Notifications","Obvestila"
"Please select messages.","Prosim, izberi sporočila"
"Read Details","Preberi podrobnosti"
"Remove","Odstrani"
"Severity","Resnost"
"Show List","Prikaži spisek"
"Show Toolbar","Prikaži orodno vrstico"
"The message has been marked as read.","Sporočilo je bilo označeno kot prebrano"
"The message has been removed.","Sporočilo je bilo odstranjeno"
"Total of %d record(s) have been marked as read.","Skupaj %d zapisov je bilo označenih kot prebranih."
"Total of %d record(s) have been removed.","Skupaj %d zapisov je bilo odstranjenih."
"Unable to proceed. Please, try again.","Ne morem nadaljevati. Prosim, poskusi kasneje."
"Update Frequency","Posodobi frekvenco."
"Use HTTPS to Get Feed","Za povezavo uporabi HTTPS"
"critical","kritično"
"major","večje"
"minor","manjše"
"notice","obvestilo"
