"Action","Aktivnost"
"An error occurred while writing to the backup file ""%s"".","Prišlo je do napake pri pisanju v varnostno datoteko ""% s""."
"Backup file ""%s"" cannot be read from or written to.","Datoteke varnostne kopije ""%s"" se ne da brati ali vanjo pisati."
"Backup file ""%s"" does not exist.","Datoteka varnostne kopije ""%s"" ne obstaja"
"Backup file does not exist.","Datoteka varnostne kopije ne obstaja."
"Backup file handler was unspecified.","Upravljalec datotek varnostnih kopij ni bil določen."
"Backup file path was not specified.","Pot datoteke varnostne kopije ni bila določena."
"Backups","Varnostne kopije"
"Cannot read backup file.","Datoteke varnostne kopije ne morem prebrati."
"Create Backup","Ustvari varnostno datoteko"
"DB","DB"
"Database was successfuly backed up.","Podatkovna baza je bila uspešno shranjena v varnostno kopijo."
"Download","Prenos"
"Size, Bytes","Velikost, Byte-ov"
"The file was compressed with Zlib, but this extension is not installed on server.","Datoteka je bila stisnjena z Zlib, vendar ta razširitev ni nameščena na strežniku."
"Time","Čas"
"Type","Tip"
"Unable to create backup. Please, try again later.","Varnostne kopije ni mogoče ustvariti. Prosim, poskusite znova kasneje."
"Wrong order of creation for new backup.","Napačen vrstni red ustvarjanja novih varnostnih kopij."
