"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Pravila kataloških cen temelječa na ""%s"" atributu so bila onemogočena"
"Actions","Aktivnosti"
"Active","Aktivnosti"
"Add New Rule","Dodaj novo pravilo"
"An error occurred while deleting the rule. Please review the log and try again.","Prišlo je do napake pri odstranjevanju pravila. Prosimo preglejte dnevnik in poskusite znova."
"An error occurred while saving the rule data. Please review the log and try again.","Prišlo je do napake pri shranjevanju pravila. Prosimo preglejte dnevnik in poskusite znova."
"Apply Rules","Uporabi pravila"
"Attribute Set","Skupina atributa"
"Catalog","Katalog"
"Catalog Price Rule","Pravilo kataloških cen"
"Catalog Price Rules","Pravila kataloških cen"
"Category","Kategorija"
"Conditions","Pogoji"
"Conditions (leave blank for all products)","Pogoji (pustite prazno za vse produkte)"
"Conditions Combination","Kombinacija pogojev"
"Customer Groups","Skupine strank"
"Customer Registered: %s","Stranka registrirana: %s"
"Customer is a New Buyer: %s","Stranka je nov kupec: %s"
"Date Expire","Datum poteka"
"Date From","Od datuma"
"Date Start","Začetni datum"
"Date To","Do datuma"
"Delete Rule","Izbriši pravilo"
"Description","Opis"
"Description: %s","Opis: %s"
"Edit Rule","Uredi pravilo"
"Edit Rule '%s'","Uredi pravilo '%s'"
"Expire at: %s","Poteče ob: %s"
"From Date","Od datuma"
"General Information","Splošne informacije"
"ID","ID"
"Inactive","Neaktiven"
"NOT LOGGED IN","NISTE PRIJAVLJENI"
"Name: %s","Ime: %s"
"New Rule","Novo pravilo"
"No","Ne"
"Options","Možnosti"
"Priority","Prednost"
"Product Attribute","Atribut izdelka"
"Promotions","Promocije"
"Rule Information","Informacija pravila"
"Rule Name","Ime pravila"
"Save Rule","Shrani pravilo"
"Save and Apply","Shrani in uporabi"
"Save and Continue Edit","Shrani in nadaljuj urejanje"
"Start at: %s","Začetek ob: %s"
"Status","Stanje"
"Stop Further Rules Processing","Ustavi nadaljnjo obdelavo pravil"
"The rule has been deleted.","Pravilo je bilo odstranjeno."
"The rule has been saved.","Pravilo je bilo shranjeno."
"The rules have been applied.","Pravila so bila uporabljena."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Obstajajo pravila, ki so bila spremenjena, vendar niso bilo potrjena. Prosimo, kliknite Potrdi pravila, da boste videli takojšen učinek v katalogu."
"This rule no longer exists.","To pravilo ne obstaja več."
"To Date","Do datuma"
"Unable to apply rules.","Ne morem potrditi pravila."
"Unable to find a rule to delete.","Ne morem najti pravila, da bi ga odstranil."
"Update product's %s %s: %s","Posodobi izdelke %s %s: %s"
"Websites","Spletne strani"
"Wrong rule specified.","Navedeno napačno pravilo."
"Yes","Da"
