"%s and greater","%s in večji"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d predmet(i)</strong> so bili najdeni z uporabo naslednjih iskalnih kriterijev"
"Advanced Search","Napredno iskanje"
"Advanced Search Form","Obrazec za napredno iskanje"
"Advanced Search Result","Rezultati naprednega iskanja"
"All","Vse"
"Applies for ""Like"" search type only.","Velja samo za iskanje tipa ""Všeč"" "
"Apply Layered Navigation if Search Results are Less Than","Uporabi večplastno navigacijo, če so rezultati iskanja manj kot"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Spremeba nastavitve atributa v zvezi s kazalom iskanja. Zaženite proces<a href=""%s""> Ponastavi kazalo iskanja </a>."
"Autogenerated Site Map","Avtomatsko generiran zemljevid strani"
"Catalog Advanced Search","Napredno iskanje po katalogu"
"Catalog Search","Iskanje po katalogu"
"Catalog Search Index","Kazalo iskanja po katalogu"
"Don't see what you're looking for?","Ne najdete iskanega?"
"Enter ""0"" to enable layered navigation for any number of results.","Vnesite ""0"" da omogočite navigacijo po plasteh za kakršnokoli število rezultatov."
"Go","Pojdi"
"Go to Home Page","Pojdi na prvo stran"
"Grid","Mreža"
"Home","Domov"
"List","Seznam"
"Maximum Query Length","Največja dolžina poizvedbe"
"Maximum Query Words Count","Največje število besed v poizvedbi"
"Maximum Search query  length is %s. Your query was cut.","Največja dolžina poizvedbe pri iskanju je %s. Vaša poizvedba je prekinjena."
"Minimal Query Length","Najmanjša dolžina poizvedbe"
"Minimum Search query length is %s","Najmanjša dolžina poizvedbe je %s"
"Modify your search","Spremenite vaše iskanje"
"No","Ne"
"No items were found using the following search criteria.","Z naslednjim kriterijem iskanja ni bil najden noben izdelek."
"Please specify at least one search term.","Prosimo navedite vsaj en iskalni pojem"
"Popular Search Terms","Priljubljeni iskalni izrazi"
"Quick Search Form","Obrazec za hitro iskanje"
"Rebuild Catalog product fulltext search index","Ponastavi kazalo iskanja (fulltext) v katalogu izdelkov"
"Relevance","Ustreznost"
"Results","Rezultati"
"Search","Išči"
"Search Settings","Nastavitve iskanja"
"Search Terms","Iskalni izrazi"
"Search Type","Vrsta iskanja"
"Search entire store here...","Iščite po celotni trgovini ..."
"Search results for '%s'","Rezultati iskanja za '%s'"
"Search results for: '%s'","Rezultati iskanja za: '%s'"
"Search:","Išči:"
"Subscribe to Feed","Naroči se na vir"
"There are no search terms available.","Na voljo ni nobenega iskalnega izraza."
"Yes","Da"
"Your search returns no results.","Vaše iskanje ni dalo rezultatov."
"up to %s","do %s"
