"%d Review(s)","%d Mnenje(a)"
"%s Review(s)","%d Mnenje(a)"
"(Posted on %s)","(Objavljeno %s)"
"1 star","1 zvezdica"
"2 stars","2 zvezdici"
"3 stars","3 zvezdice"
"4 stars","4 zvezdice"
"5 stars","5 zvezdic"
"Add New Review","Dodaj novo mnenje"
"Add Your Review","Dodaj svoje mnenje"
"Administrator","Administrator"
"All Reviews","Vsa mnenja"
"All Reviews of Customer `%s`","Vsa mnenja stranke`%s`"
"Allow Guests to Write Reviews","Dovoli gostom pisanje mnenj"
"Are you sure you want to do this?","Ali ste prepričani, da želite to narediti?"
"Are you sure?","Ali ste prepričani ?"
"Average Customer Rating","Povprečna ocena strank"
"Average Customer Rating:","Povprečna ocena strank:"
"Back","Nazaj"
"Back to Main Product Info","Nazaj na glavne informacije o izdelku"
"Back to My Reviews","Nazaj na moja mnenja"
"Back to Product Reviews","Nazaj na mnenja o izdelku"
"Be the first to review this product","Bodi prvi, ki bo napisal mnenje za ta izdelek"
"Catalog Product Review View","Pregled mnenj kataloga izdelkov"
"Catalog Product Reviews List","Seznam mnenj kataloga izdelkov"
"Created On","Ustvarjeno"
"Customer","Stranka"
"Customer My Account Product Reviews","Stranka Moj račun Mnenja o izdelku"
"Customer My Account Review Details","Stranka Moj račun Podrobnosti mnenj"
"Customer Reviews","Strankina mnenja"
"Delete","Odstrani"
"Delete Review","Odstrani mnenje"
"Detailed Rating","Podrobna ocena"
"Edit Review '%s'","Uredi mnenje '%s'"
"Guest","Gost"
"How do you rate this product?","Kako ocenjujete ta izdelek?"
"ID","ID"
"Manage Ratings","Uredi ocene"
"My Product Reviews","Mnenja o mojih izdelkih"
"My Recent Reviews","Moja nedavna mnenja"
"Name","Ime"
"Name in Store","Ime v trgovini"
"New Review","Novo mnenje"
"Nickname","Vzdevek"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Samo registrirani uporabniki lahko pišejo mnenja. Prosimo  <a href=""%s"">prijavite se</a> ali <a href=""%s"">registrirajte</a>"
"Pending Reviews","Čakajoča mnenja"
"Pending Reviews of Customer `%s`","Čakajoča mnenja `%s` stranke"
"Please select a product","Prosimo, izberite izdelek"
"Please select one of each of the ratings above","Prosimo, izberite eno od vsake ocene zgoraj"
"Posted By","Objavil/a"
"Price","Cena"
"Product","Izdelek"
"Product Name","Ime izdelka"
"Product Rating","Ocena izdelka"
"Product Rating:","Ocena izdelka:"
"Product Review (submitted on %s):","Mnenje o izdelku (poslana  %s):"
"Product Reviews","Mnenja o izdelku"
"Product SKU","Šifra izdelka"
"Qty","Količina"
"Rating:","Ocena:"
"Review","Mnenje"
"Review (submitted on %s):","Mnenje  (poslano  %s):"
"Review Details","Podrobnosti mnenja"
"Review Form Fields Before","Pred polji obrazca za mnenja"
"Review by <span>%s</span>","Mnenje napisal <span>%s</span>"
"Reviews and Ratings","Mnenja in ocene"
"SKU","Šifra artikla"
"Save Review","Shrani mnenje"
"Status","Stanje"
"Submit Review","Pošlji mnenje"
"Summary Rating","Povzetek ocene"
"Summary of Review","Povzetek mnenja"
"Summary of Your Review","Povzetek vašega mnenja"
"Title","Naslov"
"Type","Tip"
"Unable to post the review.","Mnenja ni možno objaviti."
"Update Status","Posodobi stanje"
"View All Reviews","Poglej vsa mnenja"
"View Details","Poglej podrobnosti"
"Visible In","Vidno v"
"Websites","Spletne strani"
"Write Your Own Review","Napiši svoje lastno mnenje"
"You have submitted no reviews.","Nisi poslal nobenega mnenja"
"You're reviewing:","Pišete mnenje o:"
"Your Rating:","Vaša ocena:"
"Your Review (submitted on %s):","Vaše mnenje (poslana %s):"
"Your review has been accepted for moderation.","Vaše mnenje je sprejeto v pregled."
