"%s","%s"
"-- Please Select --","-- Prosimo izberite --"
"Actions","Aktivnosti"
"Add Layout Update","Dodaj posodobitev postavitve"
"Add New Widget Instance","Dodaj novo instanco gradnika"
"All","Vsi"
"All Pages","Vse strani"
"All Product Types","Vsi tipi produktov"
"Anchor Categories","Zasidrane kategorije"
"Assign to Store Views","Dodeli pogledom trgovine"
"Big Image","Velika slika"
"Block Reference","Referenca bloka"
"CMS","CMS"
"Categories","Kategorije"
"Choose...","Izberite …"
"Close","Zapri"
"Continue","Nadaljuj"
"Default Template","Privzeta predloga"
"Delete","Odstrani"
"Design Package/Theme","Oblika paketa/teme"
"Export to:","Izvozi v:"
"Frontend Properties","Lastnosti uporabniške strani"
"Generic Pages","Splošne strani"
"Images","Slike"
"Insert Widget","Vstavi gradnik"
"Layout Updates","Posodobitev postavitve"
"Manage Widget Instances","Uredi instance gradnika"
"New Instance","Nova instanca"
"New Widget Instance","Nova instanca gradnika"
"Next page","Naslednja stran"
"Non-Anchor Categories","Nezasidrane kategorije"
"Not Selected","Ni izbrano"
"Page","Stran"
"Please Select Block Reference First","Prosimo najprej izberite referenco bloka"
"Previous page","Prejšnja stran"
"Products","Izdelki"
"Remove Layout Update","Odstrani posodobitev postavitve"
"Save and Continue Edit","Shrani in nadaljuj urejanje"
"Select All","Izberi vse"
"Select Visible","Izberi vidno"
"Settings","Nastavitve"
"Sort Order","Vrstni red"
"Sort Order of widget instances in the same block reference","Vrstni red instanc gradnikov v isti referenci bloka "
"Specific %s","Posebne %s"
"Specified Page","Določena stran"
"Template","Predloga"
"The information in this tab has been changed.","Informacija v tem zavihku je bila spremenjena."
"The widget instance has been deleted.","Instanca gradnika je bila odstranjena."
"The widget instance has been saved.","Instanca gradnika je bila shranjena."
"This tab contains invalid data. Please solve the problem before saving.","Ta zavihek vsebuje neveljavne podatke. Prosimo rešite problem pred shranjevanjem."
"Thumbnail","Predogledna slika"
"Total %d records found","Najdeno skupaj %d zapisov"
"Type","Tip"
"Unselect All","Prekliči vse"
"Unselect Visible","Prekliči vidne"
"View","Pogled"
"Widget","Gradnik"
"Widget ""%s""","Gradnik ""%s"""
"Widget ID","ID gradnika"
"Widget Instance","Instanca gradnika"
"Widget Instance Title","Naslov instance gradnika"
"Widget Options","Možnosti gradnika"
"Widget Type","Tip gradnika"
"Widget Type is not specified","Tip gradnika ni določen"
"Widget instance is not full complete to create.","Instanca gradnika ni dokončana."
"Widgets","Gradniki"
"Wrong wigdet instance specified.","Določena je napačna instanca gradnika"
"items selected","izbrani elementi"
"of %s pages"," %s strani"
"per page","na stran"
